Country Name,Country Code,2013
India,IND,17.14842354
China,CHN,8.784421316
Viet Nam,VNM,15.21561225
Afghanistan,AFG,22.81066274
Albania,ALB,18.92481742
Algeria,DZA,9.120074642
American Samoa,ASM,
Andorra,AND,0.585558984
Angola,AGO,10.3295507
Antigua and Barbuda,ATG,1.484000402
Argentina,ARG,6.052918437
Armenia,ARM,18.43476288
Aruba,ABW,0.017817463
Australia,AUS,2.290768133
Austria,AUT,1.277849921
Azerbaijan,AZE,5.36626448
"Bahamas, The",BHS,0.927897053
Bahrain,BHR,0.264280047
Bangladesh,BGD,15.493278
Barbados,BRB,1.818358272
Belarus,BLR,6.809092448
Belgium,BEL,0.764565478
Belize,BLZ,10.07937607
Benin,BEN,25.27540464
Bermuda,BMU,0.328283344
Bhutan,BTN,11.85263024
Bolivia,BOL,9.966979477
Bosnia and Herzegovina,BIH,6.841390871
Botswana,BWA,1.993543223
Brazil,BRA,4.506886182
British Virgin Islands,VGB,
Brunei Darussalam,BRN,0.68493744
Bulgaria,BGR,4.515416945
Burkina Faso,BFA,23.64109279
Burundi,BDI,38.36711826
Cabo Verde,CPV,5.823591256
Cambodia,KHM,24.44715514
Cameroon,CMR,16.72366119
Canada,CAN,1.894231512
Cayman Islands,CYM,0.340975325
Central African Republic,CAF,32.25890625
Chad,TCD,31.71286033
Channel Islands,CHI,
Chile,CHL,3.473375328
Colombia,COL,5.392714954
Comoros,COM,30.78986205
"Congo, Dem. Rep.",COD,13.67387612
"Congo, Rep.",COG,4.260082188
Costa Rica,CRI,4.783350933
Cote d'Ivoire,CIV,15.34290194
Croatia,HRV,3.437676213
Cuba,CUB,3.924923524
Curacao,CUW,0.22782236
Cyprus,CYP,2.036335667
Czechia,CZE,2.347583156
Denmark,DNK,1.256640415
Djibouti,DJI,1.193923047
Dominica,DMA,14.07109578
Dominican Republic,DOM,4.994105884
Ecuador,ECU,6.963208805
"Egypt, Arab Rep.",EGY,11.2743496
El Salvador,SLV,5.613306559
Equatorial Guinea,GNQ,1.19199068
Eritrea,ERI,
Estonia,EST,3.047429737
Eswatini,SWZ,8.375456904
Ethiopia,ETH,41.23950553
Faroe Islands,FRO,14.80160175
Fiji,FJI,10.11310699
Finland,FIN,2.211826219
France,FRA,1.361401379
French Polynesia,PYF,3.022173182
Gabon,GAB,3.329080651
"Gambia, The",GMB,26.22212251
Georgia,GEO,9.214786876
Germany,DEU,0.927130139
Ghana,GHA,20.36984254
Gibraltar,GIB,
Greece,GRC,3.351462239
Greenland,GRL,15.02702344
Grenada,GRD,4.835455612
Guam,GUM,
Guatemala,GTM,10.3562262
Guinea,GIN,17.54527284
Guinea-Bissau,GNB,38.66158135
Guyana,GUY,25.64757337
Haiti,HTI,19.32749996
Honduras,HND,12.19112794
"Hong Kong SAR, China",HKG,0.057288366
Hungary,HUN,3.922537345
Iceland,ISL,5.794414273
Indonesia,IDN,13.35669916
"Iran, Islamic Rep.",IRN,8.774909773
Iraq,IRQ,4.768439716
Ireland,IRL,1.070005304
Isle of Man,IMN,0.596599796
Israel,ISR,1.521428077
Italy,ITA,2.057793666
Jamaica,JAM,5.970479633
Japan,JPN,1.06671783
Jordan,JOR,3.583018644
Kazakhstan,KAZ,4.50354557
Kenya,KEN,18.61655159
Kiribati,KIR,23.66587676
"Korea, Dem. People's Rep.",PRK,
"Korea, Rep.",KOR,1.995081665
Kosovo,XKX,8.431611261
