Country Name,Country Code,2023
India,IND,16.19318936
China,CHN,6.889519411
Viet Nam,VNM,11.86167116
Afghanistan,AFG,34.74324714
Albania,ALB,16.27423883
Algeria,DZA,13.36924504
American Samoa,ASM,
Andorra,AND,0.478492136
Angola,AGO,20.68976233
Antigua and Barbuda,ATG,1.943267807
Argentina,ARG,5.846778604
Armenia,ARM,8.102237992
Aruba,ABW,
Australia,AUS,2.571698319
Austria,AUT,1.24176172
Azerbaijan,AZE,5.510588946
"Bahamas, The",BHS,0.454447231
Bahrain,BHR,0.251492807
Bangladesh,BGD,11.00369002
Barbados,BRB,1.652303326
Belarus,BLR,7.248599571
Belgium,BEL,0.774565666
Belize,BLZ,8.137116342
Benin,BEN,25.40197237
Bermuda,BMU,0.192522836
Bhutan,BTN,14.99310869
Bolivia,BOL,9.310980098
Bosnia and Herzegovina,BIH,4.653222306
Botswana,BWA,1.664615689
Brazil,BRA,6.023060235
British Virgin Islands,VGB,
Brunei Darussalam,BRN,1.173122222
Bulgaria,BGR,2.522446554
Burkina Faso,BFA,19.00655934
Burundi,BDI,33.4272042
Cabo Verde,CPV,4.854838333
Cambodia,KHM,17.07844725
Cameroon,CMR,17.09963728
Canada,CAN,
Cayman Islands,CYM,0.415554017
Central African Republic,CAF,28.61105552
Chad,TCD,35.21607144
Channel Islands,CHI,0.598873412
Chile,CHL,3.490227334
Colombia,COL,8.807922947
Comoros,COM,35.94277039
"Congo, Dem. Rep.",COD,10.37739516
"Congo, Rep.",COG,8.952115876
Costa Rica,CRI,3.800476573
Cote d'Ivoire,CIV,15.94425784
Croatia,HRV,2.683953507
Cuba,CUB,1.405787401
Curacao,CUW,0.268253398
Cyprus,CYP,1.154959184
Czechia,CZE,2.141219154
Denmark,DNK,1.03787057
Djibouti,DJI,2.502022353
Dominica,DMA,12.10972171
Dominican Republic,DOM,4.29425304
Ecuador,ECU,7.995473633
"Egypt, Arab Rep.",EGY,10.60031116
El Salvador,SLV,4.450412566
Equatorial Guinea,GNQ,3.093410455
Eritrea,ERI,
Estonia,EST,1.715581259
Eswatini,SWZ,6.63100879
Ethiopia,ETH,35.78648078
Faroe Islands,FRO,17.75536496
Fiji,FJI,12.82459102
Finland,FIN,2.337931742
France,FRA,1.484757963
French Polynesia,PYF,
Gabon,GAB,6.669425636
"Gambia, The",GMB,22.03758666
Georgia,GEO,6.015795081
Germany,DEU,0.929156663
Ghana,GHA,20.94306878
Gibraltar,GIB,
Greece,GRC,3.742220179
Greenland,GRL,16.55794999
Grenada,GRD,3.107808876
Guam,GUM,
Guatemala,GTM,9.686707525
