Country Name,Country Code,2003
India,IND,19.59199798
China,CHN,12.17576009
Viet Nam,VNM,22.54243671
Afghanistan,AFG,37.41885544
Albania,ALB,19.80762033
Algeria,DZA,8.456719507
American Samoa,ASM,
Andorra,AND,0.419117893
Angola,AGO,10.00007685
Antigua and Barbuda,ATG,1.360225324
Argentina,ARG,10.32816694
Armenia,ARM,
Aruba,ABW,0.018010582
Australia,AUS,2.887335849
Austria,AUT,1.486930756
Azerbaijan,AZE,12.42566291
"Bahamas, The",BHS,1.347224211
Bahrain,BHR,
Bangladesh,BGD,19.8127183
Barbados,BRB,1.978501324
Belarus,BLR,8.635627708
Belgium,BEL,1.029444503
Belize,BLZ,10.46150471
Benin,BEN,24.45398374
Bermuda,BMU,0.821851058
Bhutan,BTN,19.78684239
Bolivia,BOL,13.42723696
Bosnia and Herzegovina,BIH,8.105021141
Botswana,BWA,2.722386955
Brazil,BRA,6.167184387
British Virgin Islands,VGB,
Brunei Darussalam,BRN,1.237258337
Bulgaria,BGR,9.09562775
Burkina Faso,BFA,25.96097682
Burundi,BDI,42.8412837
Cabo Verde,CPV,10.14369825
Cambodia,KHM,29.47437957
Cameroon,CMR,17.47378423
Canada,CAN,2.053091392
Cayman Islands,CYM,
Central African Republic,CAF,
Chad,TCD,25.63394053
Channel Islands,CHI,
Chile,CHL,4.094775331
Colombia,COL,8.328774165
Comoros,COM,29.37612726
"Congo, Dem. Rep.",COD,26.05383881
"Congo, Rep.",COG,6.275223939
Costa Rica,CRI,8.840078009
Cote d'Ivoire,CIV,20.77602022
Croatia,HRV,3.936095316
Cuba,CUB,5.745211859
Curacao,CUW,0.588146487
Cyprus,CYP,3.352901592
Czechia,CZE,2.431034623
Denmark,DNK,1.587003572
Djibouti,DJI,
Dominica,DMA,11.25143855
Dominican Republic,DOM,6.693849844
Ecuador,ECU,9.050128131
"Egypt, Arab Rep.",EGY,15.28670659
El Salvador,SLV,5.488397134
Equatorial Guinea,GNQ,
Eritrea,ERI,11.82992122
Estonia,EST,3.459288078
Eswatini,SWZ,10.17737813
Ethiopia,ETH,37.28505541
Faroe Islands,FRO,12.00590239
Fiji,FJI,12.51435385
Finland,FIN,2.536351293
France,FRA,1.745606643
French Polynesia,PYF,
Gabon,GAB,6.004020935
"Gambia, The",GMB,26.74829049
Georgia,GEO,19.30150278
Germany,DEU,0.829342961
